Dataset,Model,accuracy_mean,accuracy_std,accuracy_display,precision_mean,precision_std,precision_display,precision_illicit_mean,precision_illicit_std,precision_illicit_display,recall_mean,recall_std,recall_display,recall_illicit_mean,recall_illicit_std,recall_illicit_display,f1_mean,f1_std,f1_display,f1_illicit_mean,f1_illicit_std,f1_illicit_display,roc_auc_mean,roc_auc_std,roc_auc_display,PRAUC_mean,PRAUC_std,PRAUC_display,kappa_mean,kappa_std,kappa_display
IBM_AML_HiSmall,SVM,0.9461026399889464,5.646012854083701e-16,0.9461 (0.0000),0.9970333947571047,5.646012854083701e-16,0.9970 (0.0000),0.014022969374167782,8.821895084505783e-18,0.0140 (0.0000),0.9461026399889464,5.646012854083701e-16,0.9461 (0.0000),0.4077434966727161,2.8230064270418506e-16,0.4077 (0.0000),0.9705426454730635,0.0,0.9705 (0.0000),0.02711346219602952,1.7643790169011566e-17,0.0271 (0.0000),0.9007448278023182,6.775215424900442e-16,0.9007 (0.0000),0.013183613307774067,0.0,0.0132 (0.0000),0.023636260586455182,0.0,0.0236 (0.0000)
IBM_AML_HiSmall,XGB,0.9943404930534817,0.0,0.9943 (0.0000),0.9969818929314554,5.646012854083701e-16,0.9970 (0.0000),0.1010712622263624,2.823006427041851e-17,0.1011 (0.0000),0.9943404930534817,0.0,0.9943 (0.0000),0.26255293405928615,5.646012854083702e-17,0.2626 (0.0000),0.995592979118224,4.516810283266961e-16,0.9956 (0.0000),0.14595594417353291,5.646012854083702e-17,0.1460 (0.0000),0.920763779443672,6.775215424900442e-16,0.9208 (0.0000),0.06654556095600128,0.0,0.0665 (0.0000),0.14367820320125632,8.469019281125553e-17,0.1437 (0.0000)
IBM_AML_LiSmall,MLP,0.958573620989475,0.029494422579488352,0.9586 (0.0295),0.9987954280564786,0.0001251885943424753,0.9988 (0.0001),0.004310636641953121,0.0005944949963529587,0.0043 (0.0006),0.958573620989475,0.029494422579488352,0.9586 (0.0295),0.2620922832140016,0.196667800547623,0.2621 (0.1967),0.9779538977316946,0.015401200979453465,0.9780 (0.0154),0.008085939545193908,0.0016709807872177364,0.0081 (0.0017),0.7494170512492441,0.08190045801834331,0.7494 (0.0819),0.0033161366203178964,0.0013990566838928953,0.0033 (0.0014),0.006810698484522156,0.0015338372149123287,0.0068 (0.0015)
IBM_AML_LiSmall,GCN,0.9682831460245741,0.030968533059080774,0.9683 (0.0310),0.9987809206070908,0.0001317080084170937,0.9988 (0.0001),0.005234559802558433,0.0015106355855989593,0.0052 (0.0015),0.9682831460245741,0.030968533059080774,0.9683 (0.0310),0.23273667462211614,0.20306536627131913,0.2327 (0.2031),0.9829654516127317,0.016370941308057312,0.9830 (0.0164),0.010014865327323366,0.002956506006307284,0.0100 (0.0030),0.739012522493471,0.07769536645797696,0.7390 (0.0777),0.004780288246305039,0.0032509494473350045,0.0048 (0.0033),0.008760356997713149,0.0028026068600940815,0.0088 (0.0028)
IBM_AML_LiSmall,GAT,0.9321712972986959,0.17908272795017235,0.9322 (0.1791),0.99880488425176,0.0001607111628533437,0.9988 (0.0002),0.005441552301119907,0.0015980233749419554,0.0054 (0.0016),0.9321712972986959,0.17908272795017235,0.9322 (0.1791),0.26913285600636433,0.24577419188159433,0.2691 (0.2458),0.9481636902686029,0.17985931152899756,0.9482 (0.1799),0.009807601719554658,0.002490430460735135,0.0098 (0.0025),0.7456628009675058,0.07773621351954862,0.7457 (0.0777),0.007699027808848768,0.006863703045402447,0.0077 (0.0069),0.008560023636018588,0.00250902168003266,0.0086 (0.0025)
IBM_AML_LiSmall,GIN,0.929984870953729,0.05040140810641945,0.9300 (0.0504),0.9988927458192691,0.00020483009185489126,0.9989 (0.0002),0.00651573284279264,0.006730794956355858,0.0065 (0.0067),0.929984870953729,0.05040140810641945,0.9300 (0.0504),0.40568814638027045,0.312300851682493,0.4057 (0.3123),0.9623722659646118,0.026963762953297592,0.9624 (0.0270),0.00920660001174314,0.004823185758019571,0.0092 (0.0048),0.8337564596207466,0.026457562390150274,0.8338 (0.0265),0.004562656042010834,0.002047397023591589,0.0046 (0.0020),0.007987932344303254,0.0050172749719892456,0.0080 (0.0050)
IBM_AML_LiSmall,RF,0.9428570883871293,0.0004774358882714222,0.9429 (0.0005),0.9991080734359576,1.9295460287056848e-06,0.9991 (0.0000),0.008424827432756297,6.510794087242584e-05,0.0084 (0.0001),0.9428570883871293,0.0004774358882714222,0.9429 (0.0005),0.706563245823389,0.00270216874706557,0.7066 (0.0027),0.9699203523256986,0.00025302722374638846,0.9699 (0.0003),0.01665109947398092,0.00012723200576696697,0.0167 (0.0001),0.8756052248022014,0.00106699839959834,0.8756 (0.0011),0.018186322102944057,0.0008652437814857522,0.0182 (0.0009),0.015318588820185042,0.00012752058685148307,0.0153 (0.0001)
IBM_AML_LiSmall,SVM,0.8924974365049859,3.387607712450221e-16,0.8925 (0.0000),0.9990960225931634,4.516810283266961e-16,0.9991 (0.0000),0.004510104149295816,1.7643790169011568e-18,0.0045 (0.0000),0.8924974365049859,3.387607712450221e-16,0.8925 (0.0000),0.710023866348449,3.387607712450221e-16,0.7100 (0.0000),0.9425265615504098,4.516810283266961e-16,0.9425 (0.0000),0.0089632731764635,3.5287580338023136e-18,0.0090 (0.0000),0.8372889517083096,0.0,0.8373 (0.0000),0.004389887675642967,0.0,0.0044 (0.0000),0.007612899593123501,0.0,0.0076 (0.0000)
IBM_AML_LiSmall,XGB,0.9948370597631375,6.775215424900442e-16,0.9948 (0.0000),0.9987378775647925,0.0,0.9987 (0.0000),0.020472440944881886,1.0586274101406941e-17,0.0205 (0.0000),0.9948370597631375,6.775215424900442e-16,0.9948 (0.0000),0.13961813842482101,2.823006427041851e-17,0.1396 (0.0000),0.9967531341574029,4.516810283266961e-16,0.9968 (0.0000),0.0357088356477949,7.057516067604627e-18,0.0357 (0.0000),0.8110354722874372,1.1292025708167404e-16,0.8110 (0.0000),0.010601527988910675,0.0,0.0106 (0.0000),0.03455584447745153,7.057516067604627e-18,0.0346 (0.0000)
IBM_AML_HiMedium,MLP,0.6325526492786246,0.4882185700993815,0.6326 (0.4882),0.7323688224237148,0.4491846777842794,0.7324 (0.4492),0.0015206850457201832,0.0007773496656821064,0.0015 (0.0008),0.6325526492786246,0.4882185700993815,0.6326 (0.4882),0.36877802690582956,0.4869462002515352,0.3688 (0.4869),0.6330259469156776,0.48824050735284663,0.6330 (0.4882),0.002180644356096408,0.0007982861006691453,0.0022 (0.0008),0.5277058350668604,0.12209815776497246,0.5277 (0.1221),0.0007363900445246448,0.0001867796002725371,0.0007 (0.0002),0.0011912481385679204,0.0010037452305169542,0.0012 (0.0010)
IBM_AML_HiMedium,GCN,0.09461240008785435,0.26154950209431527,0.0946 (0.2615),0.7658860256292025,0.42974485730657563,0.7659 (0.4297),0.0006325419138207769,6.002218971739282e-05,0.0006 (0.0001),0.09461240008785435,0.26154950209431527,0.0946 (0.2615),0.9093796711509714,0.25831245077127557,0.9094 (0.2583),0.1075196218684527,0.2783489711414883,0.1075 (0.2783),0.0012635879454045251,0.00011766037898108573,0.0013 (0.0001),0.4822569426737744,0.0933764658936351,0.4823 (0.0934),0.0008633857825770975,0.000197276608294895,0.0009 (0.0002),2.3996254094923083e-05,0.00011929909845912473,0.0000 (0.0001)
IBM_AML_HiMedium,GAT,0.5601295926951744,0.4927349969571823,0.5601 (0.4927),0.9654064551222568,0.18233648594733742,0.9654 (0.1823),0.0008008476165513821,0.0009500623759286594,0.0008 (0.0010),0.5601295926951744,0.4927349969571823,0.5601 (0.4927),0.4380605381165919,0.49465615274062125,0.4381 (0.4947),0.5664706868648839,0.4939664057306744,0.5665 (0.4940),0.001127410836756852,0.0002819830861365069,0.0011 (0.0003),0.5007054422907566,0.11428547288978808,0.5007 (0.1143),0.0010070382617413999,0.0011718367011232657,0.0010 (0.0012),-1.5650931939303893e-05,0.00042608174920985814,-0.0000 (0.0004)
IBM_AML_HiMedium,GIN,0.9793882205037411,0.023434319701280678,0.9794 (0.0234),0.998777214551317,1.9169675096888703e-05,0.9988 (0.0000),0.0016962062508164432,0.0004681938437243164,0.0017 (0.0005),0.9793882205037411,0.023434319701280678,0.9794 (0.0234),0.04577727952167413,0.053093679941353465,0.0458 (0.0531),0.9888361124962456,0.01201447528144859,0.9888 (0.0120),0.002458149532999919,0.00035366025009630244,0.0025 (0.0004),0.5107059467425717,0.040889249874530985,0.5107 (0.0409),0.0007689634124593189,0.0001569368548408336,0.0008 (0.0002),0.0015059609565490461,0.0003174178373597338,0.0015 (0.0003)
IBM_AML_HiMedium,RF,0.9373813051911912,0.0006072887735287595,0.9374 (0.0006),0.9992042433832079,7.35916220580681e-07,0.9992 (0.0000),0.007185329867221194,5.9706828360597754e-05,0.0072 (0.0001),0.9373813051911912,0.0006072887735287595,0.9374 (0.0006),0.7283725710014947,0.001285583810276213,0.7284 (0.0013),0.9670719267285326,0.00032365244870401937,0.9671 (0.0003),0.01423026688020911,0.00011691550840326914,0.0142 (0.0001),0.8616757675027882,0.0006111773803124313,0.8617 (0.0006),0.011097902183731396,0.0004532979174168419,0.0111 (0.0005),0.013017434178952054,0.00011717306216033941,0.0130 (0.0001)
IBM_AML_HiMedium,SVM,0.9003021333405599,0.0,0.9003 (0.0000),0.9980824860856958,4.516810283266961e-16,0.9981 (0.0000),0.015036604480948627,3.5287580338023136e-18,0.0150 (0.0000),0.9003021333405599,0.0,0.9003 (0.0000),0.8830757035275464,4.516810283266961e-16,0.8831 (0.0000),0.9458729750430448,1.1292025708167404e-16,0.9459 (0.0000),0.029569709628238548,1.0586274101406941e-17,0.0296 (0.0000),0.9096051219601793,3.387607712450221e-16,0.9096 (0.0000),0.014682888053357601,0.0,0.0147 (0.0000),0.026276087524223057,0.0,0.0263 (0.0000)
IBM_AML_HiMedium,XGB,0.9931786073846525,6.775215424900442e-16,0.9932 (0.0000),0.9974504824826153,4.516810283266961e-16,0.9975 (0.0000),0.10869394692116614,7.057516067604627e-17,0.1087 (0.0000),0.9931786073846525,6.775215424900442e-16,0.9932 (0.0000),0.41191042409829554,2.2584051416334807e-16,0.4119 (0.0000),0.9951568883258805,3.387607712450221e-16,0.9952 (0.0000),0.17200074477108634,2.823006427041851e-17,0.1720 (0.0000),0.9145417892065135,2.2584051416334807e-16,0.9145 (0.0000),0.08895806968212128,0.0,0.0890 (0.0000),0.16974089658893182,1.4115032135209253e-16,0.1697 (0.0000)
IBM_AML_LiMedium,MLP,0.5989267927407825,0.4964234312212331,0.5989 (0.4964),0.7653843008408542,0.4294644490756195,0.7654 (0.4295),0.0014210246664254635,0.0007872404333849623,0.0014 (0.0008),0.5989267927407825,0.4964234312212331,0.5989 (0.4964),0.4023729446935725,0.4950835928341004,0.4024 (0.4951),0.5992886873983164,0.49679374150623135,0.5993 (0.4968),0.0020819008513319405,0.0007929356696873615,0.0021 (0.0008),0.4978362865782776,0.12683245758521539,0.4978 (0.1268),0.0006972253710652391,0.00019094042696580674,0.0007 (0.0002),0.0010636633853136697,0.0009987948307779216,0.0011 (0.0010)
IBM_AML_LiMedium,GCN,0.029211935044128026,0.12585781645925334,0.0292 (0.1259),0.6327065823528215,0.4896472120414322,0.6327 (0.4896),0.0006333227484373594,6.566992895443039e-05,0.0006 (0.0001),0.029211935044128026,0.12585781645925334,0.0292 (0.1259),0.978615470852018,0.09381326779952735,0.9786 (0.0938),0.038085676062768754,0.14808937114815554,0.0381 (0.1481),0.0012657636879692762,0.0001307547259233482,0.0013 (0.0001),0.5010321276050349,0.09967961379789742,0.5010 (0.0997),0.0009157858944187562,0.00016370872535824307,0.0009 (0.0002),2.5676179615456243e-05,0.00013123557069103013,0.0000 (0.0001)
IBM_AML_LiMedium,GAT,0.0008927047214638728,0.0005334597223764626,0.0009 (0.0005),0.5626730444153166,0.5005459497571211,0.5627 (0.5005),0.000620297069668723,3.1727198164113615e-07,0.0006 (0.0000),0.0008927047214638728,0.0005334597223764626,0.0009 (0.0005),0.9994394618834082,0.000913380033300663,0.9994 (0.0009),0.00054522334160201,0.0010657870684675605,0.0005 (0.0011),0.001239824648199687,6.343675576853527e-07,0.0012 (0.0000),0.5986473924347495,0.06581113766552178,0.5986 (0.0658),0.0009751658469516163,0.00020369554983352002,0.0010 (0.0002),-3.574063927184549e-07,6.349374971152824e-07,-0.0000 (0.0000)
IBM_AML_LiMedium,GIN,0.557604777291611,0.43363444629592546,0.5576 (0.4336),0.7984594603464434,0.4060564179159523,0.7985 (0.4061),0.0007703741976054113,0.0002777853585373887,0.0008 (0.0003),0.557604777291611,0.43363444629592546,0.5576 (0.4336),0.4537462630792228,0.42254924129961646,0.4537 (0.4225),0.591957167862347,0.45869750765708,0.5920 (0.4587),0.0015317286265554332,0.0005443989331298955,0.0015 (0.0005),0.4809247042031283,0.08991940935035089,0.4809 (0.0899),0.0007355275292259951,0.0001401734054803011,0.0007 (0.0001),0.0002967510808048801,0.0005498185871606007,0.0003 (0.0005)
IBM_AML_LiMedium,RF,0.9382090176375887,0.0004440856616360496,0.9382 (0.0004),0.99920323971585,4.232926897106059e-07,0.9992 (0.0000),0.0072628670860284865,4.724660665659861e-05,0.0073 (0.0000),0.9382090176375887,0.0004440856616360496,0.9382 (0.0004),0.7265414798206279,0.000740242637788657,0.7265 (0.0007),0.9675128955040783,0.00023647745151515875,0.9675 (0.0002),0.014381957990782467,9.254916376594937e-05,0.0144 (0.0001),0.8608861539612379,0.0003541648249531153,0.8609 (0.0004),0.01091568951184551,0.0002873493294763094,0.0109 (0.0003),0.013169470009883407,9.274832673361968e-05,0.0132 (0.0001)
IBM_AML_LiMedium,SVM,0.951339265762351,3.387607712450221e-16,0.9513 (0.0000),0.9989351082130582,6.775215424900442e-16,0.9989 (0.0000),0.004025221369221598,2.6465685253517352e-18,0.0040 (0.0000),0.951339265762351,3.387607712450221e-16,0.9513 (0.0000),0.3141816143497758,1.6938038562251105e-16,0.3142 (0.0000),0.9744578528828577,3.387607712450221e-16,0.9745 (0.0000),0.007948607043841425,0.0,0.0079 (0.0000),0.8335956667963639,2.2584051416334807e-16,0.8336 (0.0000),0.0033965972252190113,0.0,0.0034 (0.0000),0.006731601302210066,0.0,0.0067 (0.0000)
IBM_AML_LiMedium,XGB,0.9909283258443239,7.904417995717182e-16,0.9909 (0.0000),0.9988923294127022,4.516810283266961e-16,0.9989 (0.0000),0.014718804920913882,5.2931370507034704e-18,0.0147 (0.0000),0.9909283258443239,7.904417995717182e-16,0.9909 (0.0000),0.20655829596412553,8.469019281125553e-17,0.2066 (0.0000),0.9948423109001214,3.387607712450221e-16,0.9948 (0.0000),0.02747949291573452,1.0586274101406941e-17,0.0275 (0.0000),0.8309177077827983,5.646012854083701e-16,0.8309 (0.0000),0.00900464691221714,0.0,0.0090 (0.0000),0.026351612475661867,0.0,0.0264 (0.0000)
